136,2:16,2170000,71,4049000,744000,288
137,2:17,2182000,71,4052000,743000,288
138,2:18,2195000,72,4053000,745000,288
139,2:19,2207000,72,4056000,741000,288
140,2:20,2220000,73,4059000,743000,288
141,2:21,2232000,73,4059000,740000,288
142,2:22,2244000,74,4061000,741000,288
143,2:23,2257000,74,4064000,740000,288
144,2:24,2269000,74,4065000,740000,288
145,2:25,2281000,75,4067000,741000,288
146,2:26,2293000,75,4069000,741000,288
147,2:27,2306000,76,4070000,736000,288
148,2:28,2318000,76,4073000,733000,288
149,2:29,2330000,77,4074000,736000,288
150,2:30,2342000,77,4076000,734000,288
151,2:31,2355000,77,4078000,735000,288
152,2:32,2367000,78,4080000,733000,288
153,2:33,2379000,78,4082000,734000,288
154,2:34,2391000,79,4085000,735000,288
155,2:35,2403000,79,4088000,734000,289
156,2:36,2416000,80,4089000,731000,289
157,2:37,2428000,80,4094000,731000,289
158,2:38,2440000,80,4097000,734000,288
159,2:39,2452000,81,4099000,732000,289
160,2:40,2464000,81,4103000,732000,288
161,2:41,2476000,82,4106000,733000,288
162,2:42,2489000,82,4109000,732000,288
163,2:43,2501000,83,4112000,730000,289
164,2:44,2513000,83,4116000,727000,288
165,2:45,2525000,83,4121000,730000,288
166,2:46,2537000,84,4124000,730000,288
167,2:47,2549000,84,4128000,727000,288
168,2:48,2561000,85,4131000,724000,288
169,2:49,2574000,85,4135000,726000,288
170,2:50,2586000,86,4138000,725000,288
171,2:51,2598000,86,4142000,724000,288
172,2:52,2610000,86,4144000,726000,288
173,2:53,2622000,87,4147000,725000,288
174,2:54,2634000,87,4150000,722000,288
175,2:55,2646000,88,4153000,720000,288
176,2:56,2658000,88,4156000,717000,288
177,2:57,2670000,89,4159000,722000,288
178,2:58,2682000,89,4161000,720000,288
179,2:59,2694000,89,4163000,722000,288
180,3:00,2706000,90,4165000,722000,288
181,3:01,2718000,90,4167000,719000,288
182,3:02,2730000,91,4167000,715000,288
183,3:03,2739000,91,4152000,555000,283
184,3:04,2748000,91,4153000,558000,282
185,3:05,2757000,92,4153000,551000,282
186,3:06,2767000,92,4154000,551000,282
187,3:07,2776000,92,4161000,592000,282
188,3:08,2786000,93,4163000,592000,283
189,3:09,2796000,93,4165000,590000,282
